Feature,Random Forest,Gradient Boosting
model_name_H3,2.5647816144527344e-05,0.0
model_name_650,2.5592319884252592e-05,0.0
model_name_Grand Voyager,2.5528476013524625e-05,0.0
model_name_CR-V,2.522785148716782e-05,0.0
model_name_Note,2.522406582772615e-05,0.0
model_name_518,2.513596525332286e-05,0.0
model_name_Beetle,2.5132869082692208e-05,0.0
model_name_Modus,2.5047152355285945e-05,0.0
model_name_C4 Grand Picasso,2.498832485995884e-05,0.0
model_name_SLX,2.4791364411350756e-05,0.0
model_name_24,2.4619396723450324e-05,0.0
model_name_Venza,2.4592739370685164e-05,0.0
model_name_Avenger,2.4576019164252182e-05,0.0
model_name_Vesta,2.444659935390609e-05,0.0
model_name_TLX,2.4261562273013485e-05,0.0
model_name_45,2.413009524905473e-05,0.0
model_name_3962,2.3819016488629103e-05,0.0
model_name_Wagon R,2.3818458426122395e-05,0.0
model_name_25,2.355789254402666e-05,0.0
model_name_Neon,2.3335434429449374e-05,0.0
model_name_Trans Sport,2.3319200251037528e-05,0.0
model_name_75,2.3277663844196154e-05,0.0
model_name_Espero,2.318907098440926e-05,0.0
model_name_Largus,2.3151573522389355e-05,0.0
manufacturer_name_Buick,2.300829113768003e-05,0.0
model_name_A190,2.2989386303763395e-05,0.0
model_name_Vibe,2.296454835220186e-05,0.0
model_name_Trax,2.2774809788883077e-05,0.0
model_name_Encore,2.2768486939545197e-05,0.0
model_name_Twingo,2.2656733724148622e-05,0.0
model_name_Phedra,2.2462080026167147e-05,0.0
model_name_Captur,2.2378978775063614e-05,0.0
model_name_145,2.227472623426786e-05,0.0
model_name_Berlingo,2.2138454496546434e-05,0.0
model_name_Aztek,2.188978030689423e-05,0.0
model_name_E320,2.1807452041062957e-05,0.0
model_name_SRX,2.1703377998873432e-05,0.0
model_name_Discovery,2.1670936065376854e-05,0.0
model_name_i40,2.1618747020490112e-05,0.0
model_name_2107,2.1423352481923404e-05,0.0
model_name_Tacoma,2.1317833221903707e-05,0.0
model_name_E350,2.122869061840859e-05,0.0
model_name_2108,2.0975197360811818e-05,0.0
model_name_LC,2.0539606669925218e-05,0.0
model_name_21011,2.0440397654696675e-05,0.0
model_name_ILX,2.0395233943313683e-05,0.0
model_name_Leon,2.034914898337885e-05,0.0
model_name_Murano,2.034720840057494e-05,0.0
model_name_HR-V,2.0338898888997084e-05,0.0
model_name_Lacetti,1.988649992057411e-05,0.0
model_name_Forza,1.9841834129533123e-05,0.0
model_name_968м,1.971923526201519e-05,0.0
model_name_T1,1.9716161790170707e-05,0.0
model_name_ASX,1.938179336874479e-05,0.0
model_name_C240,1.8688983570763885e-05,0.0
model_name_Solara,1.865487454625998e-05,0.0
model_name_4x4,1.8495944999876465e-05,0.0
model_name_Baleno,1.8147391029536005e-05,0.0
model_name_V50,1.791879433969362e-05,0.0
model_name_Aveo,1.781717488599487e-05,0.0
model_name_MyWay,1.7560311372032187e-05,0.0
model_name_Mustang,1.7482300902403444e-05,0.0
model_name_CLS350,1.735371976097784e-05,0.0
model_name_Optima,1.7082533672874654e-05,0.0
model_name_300,1.703128552071742e-05,0.0
model_name_328,1.7021659110663565e-05,0.0
model_name_Stilo,1.6999594876690507e-05,0.0
model_name_XE,1.677689515241739e-05,0.0
model_name_Terrano,1.656728633393315e-05,0.0
model_name_Lupo,1.6512789235756326e-05,0.0
model_name_Doblo,1.6301143354755284e-05,0.0
model_name_Tribute,1.6279758550291012e-05,0.0
model_name_T3,1.62739169274592e-05,0.0
model_name_T2,1.6186299814220675e-05,0.0
model_name_E300,1.6140530822601083e-05,0.0
model_name_IS,1.610391601026751e-05,0.0
model_name_CLA45 AMG,1.602567931078176e-05,0.0
model_name_X60,1.5989366679818605e-05,0.0
model_name_Таврия,1.5950764345890632e-05,0.0
model_name_Space Wagon,1.593824476551063e-05,0.0
model_name_Colt,1.578836061252466e-05,0.0
model_name_3302,1.5771815811253836e-05,0.0
model_name_159,1.5729099676395465e-05,0.0
model_name_CLS250,1.5576282904186153e-05,0.0
model_name_Clarus,1.5571434546883625e-05,0.0
model_name_Grand Espace,1.5569907126422968e-05,0.0
model_name_Patrol,1.556905312156959e-05,0.0
model_name_Liana,1.543318078764646e-05,0.0
model_name_CLA180,1.52757882061024e-05,0.0
model_name_A140,1.5245533128458293e-05,0.0
model_name_H-1,1.5095719600654777e-05,0.0
model_name_Patriot,1.499514573354947e-05,0.0
model_name_539,1.4953648266152736e-05,0.0
model_name_Previa,1.4920471373432365e-05,0.0
model_name_Kaptur,1.4771827128029911e-05,0.0
model_name_Pathfinder,1.4702900956495079e-05,0.0
model_name_9000,1.4674405485028442e-05,0.0
model_name_B160,1.4622209495133831e-05,0.0
model_name_XRAY,1.4620685464712368e-05,0.0
model_name_V220,1.4475025167623956e-05,0.0
model_name_Sintra,1.4423834969499416e-05,0.0
model_name_E270,1.4415747007369388e-05,0.0
model_name_324,1.4107435039790339e-05,0.0
model_name_S500,1.407203895841368e-05,0.0
model_name_Saxo,1.3871075801388907e-05,0.0
model_name_Tempra,1.3782530588661552e-05,0.0
model_name_C-ELYSÉE,1.3449174354884367e-05,0.0
model_name_2,1.3357632856339784e-05,0.0
model_name_Peri,1.334269242068918e-05,0.0
model_name_CK,1.3340418509463277e-05,0.0
model_name_166,1.3338227483413856e-05,0.0
model_name_GLK350,1.3320453036626164e-05,0.0
model_name_Camaro,1.329339466728005e-05,0.0
model_name_Hover,1.3230498929609221e-05,0.0
model_name_CL550,1.317418898653695e-05,0.0
model_name_Sunny,1.292333390598115e-05,0.0
model_name_21,1.287200004917625e-05,0.0
model_name_146,1.2796708961688985e-05,0.0
model_name_Citan,1.2708088785058926e-05,0.0
model_name_807,1.255477945721524e-05,0.0
model_name_Fluence,1.2485065791194842e-05,0.0
model_name_605,1.2327849581036423e-05,0.0
model_name_440,1.224161384970648e-05,0.0
model_name_Sentra,1.216961423566801e-05,0.0
model_name_Pony,1.2149664479904134e-05,0.0
model_name_307,1.214908635953858e-05,0.0
model_name_A5,1.2083793294053031e-05,0.0
model_name_Splash,1.2081626369943116e-05,0.0
model_name_121,1.201182609542677e-05,0.0
model_name_330,1.190073995248654e-05,0.0
model_name_i20,1.1777013287601418e-05,0.0
model_name_GL500,1.176460257816414e-05,0.0
model_name_V60,1.1641151997328705e-05,0.0
model_name_CX-9,1.163605735742148e-05,0.0
model_name_Qashqai+2,1.1597826930429342e-05,0.0
model_name_Concorde,1.1436410951766244e-05,0.0
model_name_Celica,1.1399316869777057e-05,0.0
model_name_2410,1.1355796999413342e-05,0.0
model_name_Cerato,1.1192979731433094e-05,0.0
model_name_Express,1.1181612190591269e-05,0.0
model_name_S350,1.1136616810419067e-05,0.0
model_name_Courier,1.0749556181797627e-05,0.0
model_name_S400,1.0669178720404867e-05,0.0
model_name_240,1.0668753916978404e-05,0.0
model_name_Space Runner,1.0639635627142992e-05,0.0
model_name_Jumper,1.0635693484679183e-05,0.0
model_name_5,1.0615992843795245e-05,0.0
model_name_Atos,1.0605789591441835e-05,0.0
model_name_Vel Satis,1.0560569760630642e-05,0.0
model_name_Mascott,1.0510742191593991e-05,0.0
model_name_Tundra,1.0501011331293608e-05,0.0
model_name_2112,1.0480114826011914e-05,0.0
model_name_CLK200,1.0432814302009722e-05,0.0
model_name_2105,1.0398592685973097e-05,0.0
model_name_Grand C-Max,1.0285544939343972e-05,0.0
model_name_Trajet,1.0127064217937759e-05,0.0
model_name_Kuga,1.0050937179870235e-05,0.0
model_name_155,1.0046325518808259e-05,0.0
model_name_Master,1.0034289324857254e-05,0.0
model_name_Grandis,9.921611445232045e-06,0.0
model_name_Partner,9.861453286723072e-06,0.0
model_name_451,9.81700865151e-06,0.0
